Zipcode,Latitude,Longitude
98101,47.61067,-122.33438
98102,47.63287,-122.32253
98103,47.671346,-122.34166
98104,47.60252,-122.32855
98105,47.66377,-122.30118
98106,47.53282,-122.35443
98107,47.66747,-122.37468
98108,47.546188,-122.31514
98109,47.630648,-122.34675
98115,47.68382,-122.30122
98117,47.685919,-122.37838
98118,47.543348,-122.27496
98119,47.63877,-122.36694
98121,47.61487,-122.34578
98122,47.61157,-122.30406
98125,47.716648,-122.30308
98126,47.54687,-122.3748
98133,47.733852,-122.34461
98144,47.58577,-122.30081
98146,47.501753,-122.35688
98177,47.740886,-122.36978
98178,47.497971,-122.24664
98188,47.450321,-122.27472
98195,47.6511111,-122.311111
98199,47.64767,-122.39758
